Rank,Country,Value,Year
188,France,84452000,2015
187,United States,77510000,2015
186,Spain,68215000,2015
185,China,56886000,2015
184,Italy,50732000,2015
183,Turkey,39478000,2015
182,Germany,35555000,2016
181,United Kingdom,34436000,2015
180,Russia,33729000,2015
179,Thailand,32588000,2016
178,Mexico,32093000,2015
177,Austria,26719000,2015
176,"Hong Kong SAR, China",26553000,2016
175,Malaysia,25721000,2015
174,Greece,23599000,2015
173,Japan,19737000,2015
172,Saudi Arabia,17994000,2015
171,Canada,17971000,2015
170,Korea,17242000,2016
169,Poland,16722000,2015
168,"Macao SAR, China",15703600,2016
167,Netherlands,15007000,2015
166,Ukraine,13333000,2016
165,India,13284000,2015
164,Croatia,12683000,2015
163,Singapore,12051000,2015
162,Bahrain,11621000,2015
161,Denmark,10424000,2015
160,Indonesia,10407000,2015
159,Morocco,10177000,2015
158,Vietnam,10013000,2016
157,Portugal,9957000,2015
156,Ireland,9528000,2015
155,Romania,9331000,2015
154,Switzerland,9305000,2015
153,Czech Republic,9288000,2016
152,Egypt,9139000,2015
151,South Africa,8904000,2015
150,Belgium,8355000,2015
149,Australia,7444000,2015
148,United Arab Emirates,7126000,2005
147,Bulgaria,7099000,2015
146,Sweden,6482000,2015
145,Georgia,6351000,2016
144,Brazil,6306000,2015
143,Philippines,5967000,2016
142,Dominican Republic,5959300,2016
141,Chile,5641000,2016
140,Argentina,5559000,2016
139,Norway,5361000,2015
138,Tunisia,5359000,2015
137,Iran,5237000,2015
136,Syrian Arab Republic,5070000,2011
135,Cambodia,5012000,2016
134,Hungary,4929000,2015
133,Myanmar,4681000,2015
132,Kazakhstan,4560000,2014
131,Albania,4131000,2015
130,Jordan,3761000,2015
129,Lao PDR,3543000,2015
128,Puerto Rico,3542000,2015
127,Cuba,3491000,2015
126,Peru,3456000,2015
125,Cyprus,3187000,2016
124,Kyrgyz Republic,3051000,2015
123,New Zealand,3039000,2015
122,Estonia,2989000,2015
121,Colombia,2978000,2015
120,Qatar,2929800,2015
119,Israel,2799000,2015
118,Uruguay,2773000,2015
117,Slovenia,2707000,2015
116,Andorra,2670000,2015
115,Costa Rica,2660000,2015
114,Finland,2622000,2015
113,Jamaica,2182000,2016
112,Panama,2110000,2015
111,Lithuania,2071000,2015
110,Zimbabwe,2057000,2015
109,Sri Lanka,2051000,2016
108,Latvia,2024000,2015
107,Uzbekistan,1969000,2013
106,Malta,1966000,2016
105,Azerbaijan,1922000,2015
104,Guatemala,1917000,2016
103,Oman,1897000,2015
102,Slovak Republic,1721000,2015
101,Algeria,1710000,2015
100,Montenegro,1662000,2016
99,Mozambique,1552000,2015
98,Ecuador,1543000,2015
97,Botswana,1528000,2015
96,Lebanon,1518000,2015
95,The Bahamas,1484000,2015
94,Côte d'Ivoire,1441000,2015
93,El Salvador,1402000,2015
92,Namibia,1388000,2015
91,Nicaragua,1386000,2015
90,Uganda,1303000,2015
89,Iceland,1289000,2015
88,Mauritius,1275000,2016
87,Nigeria,1255000,2015
86,Paraguay,1214000,2015
85,Armenia,1192000,2015
84,Serbia,1132000,2015
83,Kenya,1114000,2015
82,Tanzania,1104000,2015
81,Luxembourg,1090000,2015
80,Lesotho,1082000,2015
79,Senegal,1006600,2015
78,Rwanda,987000,2015
77,Pakistan,966000,2012
76,Zambia,932000,2015
75,Ghana,897000,2015
74,Iraq,892000,2013
73,Bolivia,882000,2015
72,Honduras,880000,2015
71,Swaziland,873000,2015
70,Ethiopia,864000,2015
69,Cameroon,822000,2014
68,Malawi,805000,2015
67,Fiji,792000,2016
66,Venezuela,789000,2015
65,Bosnia and Herzegovina,777000,2016
64,Sudan,741000,2015
63,Angola,592000,2015
62,Barbados,592000,2015
61,Nepal,539000,2015
60,Cabo Verde,520000,2015
59,Haiti,516000,2015
58,Macedonia,510000,2016
57,Tajikistan,414000,2015
56,Trinidad and Tobago,409000,2016
55,Mongolia,404000,2016
54,Belize,386000,2016
53,Cayman Islands,385000,2016
52,Yemen,366700,2015
51,St. Lucia,345000,2015
50,Monaco,331000,2015
49,Kuwait,307000,2013
48,Seychelles,303000,2016
47,Madagascar,293000,2016
46,Togo,273000,2015
45,Gabon,269000,2005
44,Antigua and Barbuda,265000,2016
43,Congo,263000,2015
42,Benin,255000,2015
41,Suriname,228000,2015
40,Brunei,218000,2015
39,Guyana,207000,2015
38,Dem. Rep. Congo,191000,2013
37,Papua New Guinea,184000,2015
36,Burkina Faso,163000,2015
35,Palau,162000,2015
34,Mali,159300,2015
33,Bhutan,155000,2015
32,Grenada,140700,2015
31,Niger,135000,2015
30,The Gambia,135000,2015
29,Burundi,131000,2015
28,Samoa,128000,2015
27,Bangladesh,125000,2014
26,St. Kitts and Nevis,122000,2015
25,Central African Republic,120500,2015
24,Chad,119800,2015
23,New Caledonia,116000,2016
22,Eritrea,107000,2011
21,Belarus,102000,2015
20,Moldova,94400,2015
19,Vanuatu,90000,2015
18,St. Vincent and the Grenadines,75000,2015
17,Dominica,75000,2015
16,Djibouti,63000,2013
15,Timor-Leste,62000,2015
14,San Marino,54000,2015
13,Tonga,53800,2015
12,Liechtenstein,48600,2015
11,Guinea-Bissau,43800,2015
10,Guinea,35000,2015
9,Libya,34000,2008
8,Mauritania,30000,2000
7,Sierra Leone,24000,2015
6,Comoros,23600,2015
5,Solomon Islands,21600,2015
4,São Tomé and Principe,12200,2011
3,Turkmenistan,8200,2007
2,Kiribati,4400,2015
1,Tuvalu,2400,2015
